Area,FwyDvmt000,FwyLnMi,ArtDvmt000,ArtLnMi,FwyVmtModPct,FwyVmtHvyPct,FwyVmtSevPct,FwyVmtExtPct,ArtVmtModPct,ArtVmtHvyPct,ArtVmtSevPct,ArtVmtExtPct,FwyAveModSpd,FwyAveHvySpd,FwyAveSevSpd,FwyAveExtSpd,ArtAveModSpd,ArtAveHvySpd,ArtAveSevSpd,ArtAveExtSpd,Pop000,SqMi
Akron OH,5530,430,4385,1190,35,9,4,2,16.2,9.3,2.4,2.1,51.9,45,41.8,24.3,25.3,23.5,22.5,20.9,620,390
Albany-Schenectady NY,7005,615,5260,1175,9.5,17.9,6.7,1.1,18,14.4,15.6,12,48.8,43.3,35.7,19.7,24.9,23.6,22.5,21,595,410
Albuquerque NM,4875,335,7470,1590,10.2,9,20.4,20.4,22,11.6,7.2,14.3,52.9,46.9,37.7,26.6,25.2,23.9,22.6,20.6,585,285
Allentown-Bethlehem PA-NJ,4935,415,5630,965,10.8,3.6,15.6,0,18.9,22.4,19.6,9.1,51,47.3,37.1,27.1,25.1,23.5,22.5,21.2,625,340
Anchorage AK,1560,195,2220,395,5,0,0,0,29.9,13,7.2,15,50.5,41.4,30.3,22.8,25.1,23.7,22.6,20.6,290,230
Atlanta GA,47830,2525,44825,7570,10.2,22.1,35.7,17,18.2,18.2,13.3,20.3,52,46.8,34.6,25.6,24.9,23.6,22.4,20.5,4440,3075
Austin TX,9400,585,8040,1220,20.3,18,18,18.8,19.5,22.5,12.8,20.3,51.8,45.1,36.4,26.1,24.9,23.6,22.4,20.6,1035,525
Bakersfield CA,2275,200,4600,1085,9,26.1,9.9,0,18.5,14.9,4.1,7.7,49.2,42.8,32.2,25.7,25,23.7,22.5,20.6,510,225
Baltimore MD,26670,1560,18555,3255,12,12.8,40.8,14.4,19.5,13.7,15.6,16.3,52,46.4,36.5,26.1,25.1,23.5,22.4,20.6,2320,770
Beaumont TX,2400,205,2935,830,4,10.2,5.8,0,13.5,9.3,2.4,4.8,47.2,43.9,32,21.9,24.9,23.8,22.5,20.5,225,195
Birmingham AL,9715,680,7630,1530,15,21,14,0,13.8,13.8,13.2,19.2,50.1,44,36.4,25.1,25.1,23.7,22.6,20.5,715,620
Boston MA-NH-RI,40000,2550,35515,7200,11.9,13.3,28,16.8,17.4,9.6,11.4,21.6,51.2,44.7,34.5,24.8,24.8,24,22.3,20.4,4200,2255
Boulder CO,700,65,1125,205,12,3,0,0,25.9,14.3,5,9.9,46.7,41,30.1,19.2,25,23.8,22.6,20.9,145,60
Bridgeport-Stamford CT-NY,10550,605,6230,1375,17.6,20,37.6,4.8,23.5,13.5,7.5,5.5,51.1,45.9,35,29.1,25.1,23.7,22.6,21.4,875,475
Brownsville TX,665,60,1300,280,4,1,0,0,22,23,5,0,47.9,41.7,30.4,22.7,24.9,23.5,22.5,20.5,195,70
Buffalo NY,6760,650,9645,2380,12.4,13.2,13.2,1.2,23.4,15.3,4.5,1.8,49.6,43.3,34.8,20.7,25.2,23.6,22.6,21.5,1125,600
Cape Coral FL,1845,110,6155,880,16,4,0,0,13.8,13.8,12.7,14.9,50,41.7,37.6,22.9,25.2,23.6,22.6,21.1,460,315
Charleston-North Charleston SC,3645,270,6170,860,15.2,12.8,12,0,15,21.5,13,15.6,51.1,43.4,37.2,24.7,24.7,23.5,22.6,20.7,480,295
Charlotte NC-SC,11775,790,9420,1475,13.2,15,16.8,15,17.3,24.8,11.3,21.8,52.5,47.2,38.4,27.3,24.5,23.5,22.2,20.7,1070,675
Chicago IL-IN,55150,2980,50200,13250,7.7,15.3,14.5,47.6,7.7,17,17,43.4,53.8,49.4,36,28.6,25.3,23.9,22.4,20.4,8440,3520
Cincinnati OH-KY-IN,18990,1235,12175,2800,18.2,18.9,18.2,9.8,18.5,17,8,6.5,51.8,46.3,37,28.4,25,23.6,22.4,21,1670,890
Cleveland OH,18120,1410,12005,3080,14.8,11.6,9.6,4,22.8,9.6,4.4,3.2,51.2,46.1,38.3,24.1,25.1,23.6,22.5,20.6,1790,895
Colorado Springs CO,4065,330,5200,1310,11.5,13,13.5,12,12,15,11.5,11.5,49.9,42.7,30.7,23.3,25,23.7,22.6,20.5,510,385
Columbia SC,5895,460,5180,1030,23.1,11.9,0,0,23.1,18.7,7.7,5.5,50.6,43.2,37.8,25.5,24.9,23.3,22.5,21.1,455,245
Columbus OH,15210,960,10160,2150,28,21.7,12.6,7.7,20.9,16.5,6.1,11.6,52.1,46.7,37.5,25.4,25.2,23.7,22.5,20.8,1225,610
Corpus Christi TX,2890,315,2860,685,7.7,7.4,0,0,19,18.5,8.5,4,46.8,40.7,30.4,23.3,24.9,23.5,22.6,20.7,325,200
Dallas-Fort Worth-Arlington TX,55300,3180,46090,8280,13.6,15.2,26.4,24.8,13.2,12.6,7.2,27,51.8,46.3,34.3,24.9,25.1,23.5,22.4,20.5,4445,2300
Dayton OH,7360,565,6250,1510,33,12,3,2,22.1,14.9,4.1,4.1,51.2,46.6,40.6,25.4,25.2,23.9,22.5,20.7,745,480
Denver-Aurora CO,20395,1280,22925,3715,9.8,9.1,27.3,23.8,15.8,22.5,13.5,23.3,51.3,47.3,37.5,26.1,24.8,23.5,22.4,20.7,2180,865
Detroit MI,32780,1915,53680,8630,17.3,19.5,29.3,9,17.3,18.8,15.8,23.3,52.2,46.9,37.9,28.5,25.1,23.7,22.5,20.6,4050,1440
El Paso TX-NM,5505,450,6090,1450,15.4,8.3,23.1,8.3,17,21,4.5,7.5,49.7,44.7,34.3,25.4,25,23.7,22.3,20.5,700,280
Eugene OR,1580,135,1980,410,14.8,4.2,1,0,25,13,8,4,48.4,40.1,38.3,23.4,25.2,23.8,22.5,20.9,250,110
Fresno CA,3740,295,6475,1430,16.7,2.7,25.7,0,22.8,19.8,11.4,6,50.3,41.1,33.6,23.8,25.2,23.6,22.7,21.3,640,195
Grand Rapids MI,5090,450,8560,1755,20.3,3.5,1.3,0,21.5,13.8,8.3,11.6,49.4,43.1,35.3,24.5,25.1,23.8,22.5,20.9,600,445
Hartford CT,10840,790,7585,1665,16.5,22,10.5,1,24.5,16,7,2.5,50.1,43.7,34.8,21,25,23.7,22.5,21.2,895,555
Honolulu HI,6275,415,3170,510,9.6,10.8,27.6,12,21,13.3,15.4,20.3,51.9,44.9,38.5,26,24.9,23.6,22.5,20.6,705,140
Houston TX,48000,2550,42350,7455,10.2,12.8,26.4,35.7,16.9,16.3,11.7,20.2,53,48.8,39.5,27.7,24.9,23.5,22.5,20.5,3815,1920
Indianapolis IN,13000,900,12165,1900,18.2,25.4,14.3,7.2,16.8,30.8,9.8,12.6,52.2,47.5,41.4,30.5,25.1,23.8,22.7,20.7,1070,510
Indio-Cathedral City-Palm Springs CA,1135,110,4140,775,5,0,0,0,26,19.5,13,6.5,50.1,43.5,34.9,22.8,25.1,23.8,22.6,20.8,555,185
Jacksonville FL,12460,780,9645,1510,23.4,17.6,18.9,5.2,18.8,19.5,18.8,18,51.3,45.1,37.6,23.8,25,23.6,22.5,22.1,1040,755
Kansas City MO-KS,21015,1925,13315,3235,14.7,11.6,6.7,2.1,19.4,8.1,6.3,11.3,48.7,41.3,30.8,19.2,25.3,23.9,22.9,21.1,1525,1050
Knoxville TN,5170,350,6150,1080,5.8,10.8,5.5,3,12.2,13.1,6.3,13.5,49.3,41.6,36.5,21.7,25.1,23.7,22.5,21,490,460
Lancaster-Palmdale CA,1175,80,2780,750,20,5,0,0,16.5,15.5,17,1,48.5,43.3,28.5,22.5,25.1,23.7,22.4,21.2,715,220
Laredo TX,630,80,2010,385,10,0,0,0,17.6,15.6,20.2,11.7,48.8,42.1,30.8,23.1,24.7,23.4,22.4,21,220,55
Las Vegas NV,11510,575,14255,2065,24.8,14.4,22.4,18.4,20.2,16.3,13,15.6,52.9,46.8,36.2,26.4,24.6,23.5,22.5,20.4,1405,310
Little Rock AR,6945,520,4565,1025,21.2,22.5,1.4,0,19.4,8.6,11.7,5.4,51.6,44.7,39.9,25.9,25.3,23.9,22.6,21,390,255
Los Angeles-Long Beach-Santa Ana CA,140815,5915,126870,21400,3.8,5.7,21.9,63.7,20.3,14.3,15,25.5,53.8,49.2,37.1,29.3,25.1,23.7,22.4,20.4,12800,2260
Louisville KY-IN,12085,800,8570,1540,21,7.2,25.8,6,20.8,20.2,12.4,11.7,52,44.8,38,23.7,25,23.6,22.5,20.7,915,470
Memphis TN-MS-AR,8640,650,13640,3285,15.4,8.8,10.5,20.4,18.8,9.2,6.4,5.6,51.2,43.8,33.4,23.7,25.2,23.7,22.3,21,1035,560
Miami FL,41035,2105,52160,7500,12.8,16.2,28.1,28.1,23.2,21.6,18.4,16.8,52.6,47.6,37.7,27.2,24.9,23.5,22.5,20.8,5420,1685
Milwaukee WI,11055,750,14545,3980,17.3,21.8,25.5,10.5,21,9.1,3.2,1.8,51.7,47.4,36,26.3,25.1,23.8,22.6,20.5,1465,590
Minneapolis-St. Paul MN,28385,1640,24350,5220,18,15.8,28.5,12.8,13,14,8.5,14.5,51.5,45.7,34.2,24.4,24.9,23.4,22.3,20.6,2525,1250
Nashville-Davidson TN,14150,1060,11900,2130,18,5.2,7.6,9.2,25.4,15.6,14.3,9.8,50.3,45.5,35.1,22.7,24.9,23.6,22.5,21.3,995,755
New Haven CT,7565,525,4240,1020,22,10.5,15.5,2,22.5,12.2,7.7,2.7,51.9,45.8,38.4,29.3,25.1,23.6,22.6,21.3,560,350
New Orleans LA,5340,375,8165,1790,5,32.5,17.6,0,18.6,10.8,8.4,22.2,51.3,45.4,35.3,28.4,25.1,23.7,22.5,20.5,1100,320
New York-Newark NY-NJ-CT,119240,7215,102470,19760,14.3,16.5,21.8,22.5,12,15,11.3,36.8,48.3,41.4,30.7,19.2,24.9,23.6,22.4,20.4,18225,4810
Oklahoma City OK,9770,760,12180,2660,23.4,18.9,2.7,0,22,17.6,8.3,7.2,49.6,43.5,38.9,24.6,24.9,23.8,22.5,20.6,875,560
Omaha NE-IA,4140,315,7025,1430,20.4,17.4,15,7.2,21,18,10.2,10.8,49.2,42.5,35.2,20.5,25.1,23.8,22.5,20.9,645,250
Orlando FL,13540,870,17000,2240,21,16.8,21.7,10.5,13.6,21.3,24.7,25.5,51.9,46.8,38.6,26.7,24.8,23.6,22.6,21.3,1405,725
Oxnard-Ventura CA,7125,395,6310,1260,9.8,15,37.1,3.3,16.8,10.8,9,23.4,50.9,45.3,37,29.5,25.1,23.9,22.4,20.6,685,265
Pensacola FL-AL,1520,140,5865,860,15,0,0,0,10.8,13.5,13.1,7.7,48.6,41.7,31.9,23,25.1,23.5,22.6,21.2,355,210
Philadelphia PA-NJ-DE-MD,36400,2400,47765,8230,21,14.7,18.2,16.1,21,21,13.3,14.7,49.7,42.6,30.9,20.4,25.1,23.7,22.4,21.1,5310,2280
Phoenix AZ,29450,1535,35000,7165,7.7,17.9,27.2,32.3,24,18,7.8,10.2,53.3,48.1,39.1,27.9,25.1,23.8,22.6,20.9,3425,1165
Pittsburgh PA,12405,1275,17360,3685,6.9,6.9,10.8,5.4,24.8,12.1,8.3,9.9,49,42.9,31.9,19.5,25.1,23.7,22.5,20.6,1815,1215
Portland OR-WA,13625,785,13810,2570,9.8,10.5,38.3,16.5,28,16.8,11.9,13.3,52.6,46.5,37.5,25,24.9,23.4,22.3,21.3,1800,540
Poughkeepsie-Newburgh NY,5340,450,4715,925,17,3,0,0,20.4,17.4,15,7.2,49.3,40.9,27,22.9,24.8,23.6,22.6,21,515,320
Providence RI-MA,11735,915,11210,2165,10.8,4.1,22.5,7.7,23.4,16.2,9.6,10.8,49.2,41.2,32.2,20.6,25,23.6,22.5,20.5,1245,800
Raleigh-Durham NC,11300,805,12380,2430,30,24,3,3,18.2,20.8,9.8,16.3,51.2,44.1,36.8,27.8,24.8,23.5,22.4,20.7,1025,855
Richmond VA,11960,1050,9925,2245,22.1,14.4,6.3,2.3,22.5,11.5,9.5,6.5,49.8,43.9,29.1,20.4,25,23.7,22.5,21.1,935,700
Riverside-San Bernardino CA,24210,1115,12945,2750,11.7,9.9,28.8,39.6,24.2,13.8,6.6,10.5,52.5,47.5,38.5,30.3,25.1,23.9,22.4,21.2,2030,770
Rochester NY,6000,545,5535,1570,14.1,9.9,2.1,3.9,18.5,15.3,5.4,5.9,49.3,41.8,31.4,21.4,25,23.6,22.5,21,745,450
Sacramento CA,15955,825,14135,2390,11.9,16.2,36.6,20.4,16.8,20.3,15.4,17.5,53.2,47.3,38.2,29.4,25.1,23.7,22.5,20.5,1860,445
Salem OR,1505,125,2115,420,10.5,4.5,0,0,19.2,25.2,9,6.6,47.2,44.1,34.8,22.5,25,23.5,22.5,20.4,230,80
Salt Lake City UT,7945,570,8240,1340,20,13,15,2,20.3,22.5,13.5,18.8,52,47.1,39.8,29.4,24.9,23.7,22.7,21.4,975,400
San Antonio TX,18300,1105,12110,2295,17.5,14.7,30.8,7,16.9,16.9,9.8,21.5,52.5,47,38.6,26.4,24.8,23.5,22.5,20.5,1450,565
San Diego CA,38400,1990,22280,3380,11.7,18,35.1,25.2,18.8,15,12.8,28.5,52.9,48,38.5,29.9,25.1,23.6,22.3,20.3,2950,850
San Francisco-Oakland CA,49850,2480,30725,5280,8.1,9.9,35.1,36.9,13.3,12.6,10.5,33.6,52.8,48.5,37.4,27.6,25,23.7,22.2,20.2,4480,1380
San Jose CA,16680,910,17105,2420,20.4,12.8,41.7,10.2,16.8,18.4,12,32.8,52.2,46.1,36.3,26,25.1,23.5,22.4,20.2,1705,395
Sarasota-Bradenton FL,2575,165,6545,965,14.8,4.6,0.6,0,12.4,26.7,12.4,13.7,48.2,43,37.2,22.9,24.9,23.7,22.6,21.2,665,505
Seattle WA,30670,1850,27130,5800,11.2,19.2,21.6,28,17.6,18.9,12.4,16.3,52.2,46.7,37.1,26.2,25,23.6,22.4,20.6,3100,1265
Spokane WA,2125,205,4515,1290,24.5,10.5,0,0,20.3,8.8,1.4,4.6,49.7,44.5,32.4,23.3,24.9,23.8,22.5,21.5,365,180
Springfield MA-CT,5380,460,5965,1485,15.5,5.8,3.8,0,24.8,11.7,2.3,6.3,51.4,45.9,30.7,25.5,25.1,23.6,22.7,20.7,660,475
St. Louis MO-IL,29610,2350,18145,4200,12.5,12.5,11.5,13.5,7.7,12.7,8.8,25.9,52.6,47.1,38.7,25.8,25.1,23.7,22.6,20.4,2215,1280
Tampa-St. Petersburg FL,14100,885,28915,3845,20.2,20.2,16.3,8.5,22.1,23.8,18.7,20.4,51.9,45.6,37.5,27,25.1,23.7,22.7,21,2320,1355
Toledo OH-MI,4025,335,4855,1210,13.6,7.6,14.4,4.4,26,7.2,5.6,1.2,49.5,42.1,36.1,20.9,25.1,23.9,22.6,21.6,520,285
Tucson AZ,3510,250,11205,1745,15.4,9.4,27,3.3,20.3,23.8,17.5,8.4,52,45.9,35.4,26.1,24.9,23.7,22.5,21.7,775,505
Tulsa OK,7140,750,10300,1840,9.6,3.8,6.6,0,15.6,16.8,8.4,19.2,50.2,44.4,34.5,24.5,25.1,23.8,22.6,20.7,810,415
Virginia Beach VA,13115,945,15820,2995,21.6,19.8,17.4,1.2,22.1,20.2,13,9.8,50,43.2,32.8,21.8,25.1,23.8,22.6,20.6,1545,1025
Washington DC-VA-MD,39045,2075,41575,6175,11.9,11.9,34,27.2,16,16,15.2,32.8,53,47.9,37.7,27.1,25,23.7,22.4,20.4,4330,1310
Wichita KS,4215,555,5330,1740,7.8,2.2,0,0,12.3,6.3,3,8.4,49.4,44.1,30.2,22.8,25,24,22.6,21.3,455,340
