AgencyID,PrimaryUZA,UZAName,Population
40206,76,"Charleston-North Charleston, SC",548404
40208,93,"Greenville, SC",400492
40209,122,"Fayetteville, NC",310282
40210,495,"New Bern, NC",50503
40213,142,"Montgomery, AL",263907
40214,167,"Concord, NC",214881
40215,38,"Charlotte, NC-SC",1249442
40217,167,"Concord, NC",214881
40218,43,"Louisville/Jefferson County, KY-IN",972546
40220,266,"Greenville, NC",117798
40221,200,"Gastonia, NC-SC",169495
40222,50,"Raleigh, NC",884891
40223,122,"Fayetteville, NC",310282
40224,133,"Asheville, NC",280648
40225,261,"Burlington, NC",119911
40226,133,"Asheville, NC",280648
40227,294,"Jacksonville, NC",105419
40228,38,"Charlotte, NC-SC",1249442
40229,133,"Asheville, NC",280648
40230,9,"Atlanta, GA",4515419
40231,110,"Durham, NC",347602
40232,32,"Orlando, FL",1510516
40233,167,"Concord, NC",214881
40234,218,"Ponce, PR",149539
40235,98,"Augusta-Richmond County, GA-SC",386787
40236,9,"Atlanta, GA",4515419
40237,38,"Charlotte, NC-SC",1249442
40238,4,"Miami, FL",5502379
40239,4,"Miami, FL",5502379
40240,4,"Miami, FL",5502379
40241,4,"Miami, FL",5502379
40244,192,"Spartanburg, SC",180786
40245,40,"Jacksonville, FL",1065219
41068,109,"Palm Coast-Daytona Beach-Port Orange, FL",349064
44929,4,"Miami, FL",5502379
44932,4,"Miami, FL",5502379
50001,165,"Appleton, WI",216154
50002,176,"Green Bay, WI",206520
50003,256,"Kenosha, WI-IL",124064
50004,298,"La Crosse, WI-MN",100868
50005,92,"Madison, WI",401661
50006,239,"Racine, WI",133700
50008,35,"Milwaukee, WI",1376476
50009,376,"Oshkosh, WI",74495
50010,71,"Akron, OH",569499
50011,135,"Canton, OH",279245
50012,30,"Cincinnati, OH-KY-IN",1624827
50015,25,"Cleveland, OH",1780673
50016,36,"Columbus, OH",1368035
50017,59,"Dayton, OH",724091
50019,308,"Middletown, OH",97503
50020,337,"Springfield, OH",85256
50021,71,"Akron, OH",569499
50022,80,"Toledo, OH-MI",507643
50024,97,"Youngstown, OH-PA",387550
50025,260,"Duluth, MN-WI",120378
50026,194,"Fargo, ND-MN",176676
50027,16,"Minneapolis-St. Paul, MN-WI",2650890
50028,281,"St. Cloud, MN",110621
50029,390,"Bay City, MI",70585
50030,363,"Battle Creek, MI",78393
50031,11,"Detroit, MI",3734090
50032,106,"Flint, MI",356218
50033,70,"Grand Rapids, MI",569935
50034,324,"Jackson, MI",90057
50035,173,"Kalamazoo, MI",209703
50036,118,"Lansing, MI",313532
50037,207,"Muskegon, MI",161280
50038,136,"South Bend, IN-MI",278165
50039,253,"Saginaw, MI",126265
50040,125,"Ann Arbor, MI",306022
50041,330,"Anderson, IN",88133
50042,3,"Chicago, IL-IN",8608208
50043,159,"Evansville, IN-KY",229351
50044,119,"Fort Wayne, IN",313492
50045,3,"Chicago, IL-IN",8608208
50047,243,"Bloomington-Normal, IL",132600
50050,33,"Indianapolis, IN",1487483
50051,223,"Lafayette, IN",147725
50052,136,"South Bend, IN-MI",278165
50053,316,"Terre Haute, IN",92742
50054,322,"Muncie, IN",90580
50056,139,"Peoria, IL",266921
50057,134,"Davenport, IA-IL",280051
50058,127,"Rockford, IL",296863
50059,206,"Springfield, IL",161316
50060,224,"Champaign, IL",145361
50061,313,"Decatur, IL",93863
50066,3,"Chicago, IL-IN",8608208
50088,388,"Sheboygan, WI",71313
50090,372,"Mansfield, OH",75250
50091,375,"Wausau, WI",74632
50092,288,"Rochester, MN",107677
50093,381,"Lima, OH",72852
50095,191,"Lorain-Elyria, OH",180956
50096,35,"Milwaukee, WI",1376476
50098,418,"Michigan City-La Porte, IN-MI",66025
50099,297,"Eau Claire, WI",102852
50103,3,"Chicago, IL-IN",8608208
50104,3,"Chicago, IL-IN",8608208
50107,159,"Evansville, IN-KY",229351
50108,396,"Janesville, WI",69658
50109,432,"Beloit, WI-IL",63835
50110,286,"Bloomington, IN",108657
50113,3,"Chicago, IL-IN",8608208
50117,25,"Cleveland, OH",1780673
50118,3,"Chicago, IL-IN",8608208
50119,11,"Detroit, MI",3734090
50131,3,"Chicago, IL-IN",8608208
50132,443,"Benton Harbor-St. Joseph-Fair Plain, MI",61022
50133,297,"Eau Claire, WI",102852
50141,11,"Detroit, MI",3734090
50142,389,"Weirton-Steubenville, WV-OH-PA",70889
50143,25,"Cleveland, OH",1780673
50145,437,"Kokomo, IN",62182
50146,20,"St. Louis, MO-IL",2150706
50148,336,"Port Huron, MI",87106
50149,227,"Elkhart, IN-MI",143592
50152,298,"La Crosse, WI-MN",100868
50154,16,"Minneapolis-St. Paul, MN-WI",2650890
50155,16,"Minneapolis-St. Paul, MN-WI",2650890
50157,30,"Cincinnati, OH-KY-IN",1624827
50158,125,"Ann Arbor, MI",306022
50159,350,"Kankakee, IL",81926
50160,35,"Milwaukee, WI",1376476
50161,35,"Milwaukee, WI",1376476
50162,418,"Michigan City-La Porte, IN-MI",66025
50163,369,"Newark, OH",76068
50165,59,"Dayton, OH",724091
50166,30,"Cincinnati, OH-KY-IN",1624827
50167,3,"Chicago, IL-IN",8608208
50169,59,"Dayton, OH",724091
50171,468,"Fond du Lac, WI",54901
50174,492,"Danville, IL-IN",50996
50176,404,"DeKalb, IL",68545
50177,467,"Columbus, IN",54933
50179,3,"Chicago, IL-IN",8608208
50180,262,"South Lyon-Howell, MI",119509
50182,3,"Chicago, IL-IN",8608208
50183,3,"Chicago, IL-IN",8608208
50184,299,"Holland, MI",99941
50185,3,"Chicago, IL-IN",8608208
50186,178,"Huntington, WV-KY-OH",202637
50191,36,"Columbus, OH",1368035
50193,11,"Detroit, MI",3734090
50194,127,"Rockford, IL",296863
50195,372,"Mansfield, OH",75250
50196,207,"Muskegon, MI",161280
50197,97,"Youngstown, OH-PA",387550
50198,25,"Cleveland, OH",1780673
50199,36,"Columbus, OH",1368035
50200,30,"Cincinnati, OH-KY-IN",1624827
50201,33,"Indianapolis, IN",1487483
50202,405,"West Bend, WI",68444
50204,408,"Carbondale, IL",67821
50205,456,"Mankato, MN",57584
50207,450,"Midland, MI",59014
50208,450,"Midland, MI",59014
50209,33,"Indianapolis, IN",1487483
50210,405,"West Bend, WI",68444
50211,408,"Carbondale, IL",67821
50212,432,"Beloit, WI-IL",63835
50213,11,"Detroit, MI",3734090
50214,404,"DeKalb, IL",68545
50215,404,"DeKalb, IL",68545
50515,16,"Minneapolis-St. Paul, MN-WI",2650890
50516,16,"Minneapolis-St. Paul, MN-WI",2650890
50517,16,"Minneapolis-St. Paul, MN-WI",2650890
50518,16,"Minneapolis-St. Paul, MN-WI",2650890
50519,16,"Minneapolis-St. Paul, MN-WI",2650890
55308,92,"Madison, WI",401661
55311,30,"Cincinnati, OH-KY-IN",1624827
55312,35,"Milwaukee, WI",1376476
60001,182,"Amarillo, TX",196651
60006,53,"El Paso, TX-NM",803086
60007,6,"Dallas-Fort Worth-Arlington, TX",5121892
60008,7,"Houston, TX",4944332
60009,157,"Laredo, TX",235730
60010,155,"Lubbock, TX",237356
60011,26,"San Antonio, TX",1758210
60012,196,"Waco, TX",172378
60013,215,"Port Arthur, TX",153150
60014,164,"Brownsville, TX",217585
60016,222,"Beaumont, TX",147922
60017,51,"Oklahoma City, OK",861505
60018,62,"Tulsa, OK",655479
60019,56,"Albuquerque, NM",741318
60022,68,"Baton Rouge, LA",594309
60023,228,"Lake Charles, LA",143440
60024,126,"Shreveport, LA",298317
60025,346,"Alexandria, LA",82804
60026,272,"Monroe, LA",116533
60032,49,"New Orleans, LA",899703
60033,88,"Little Rock, AR",431388
60034,475,"Pine Bluff, AR",53495
60035,301,"Wichita Falls, TX",99437
60038,148,"Lafayette, LA",252720
60040,282,"Abilene, TX",110421
60041,6,"Dallas-Fort Worth-Arlington, TX",5121892
60048,37,"Austin, TX",1362416
60049,250,"Las Cruces, NM",128600
60051,116,"Corpus Christi, TX",320069
60056,6,"Dallas-Fort Worth-Arlington, TX",5121892
60058,49,"New Orleans, LA",899703
60059,197,"College Station-Bryan, TX",171345
60062,129,"Fayetteville-Springdale-Rogers, AR-MO",295083
60068,6,"Dallas-Fort Worth-Arlington, TX",5121892
60070,6,"Dallas-Fort Worth-Arlington, TX",5121892
60072,129,"Fayetteville-Springdale-Rogers, AR-MO",295083
60077,326,"Santa Fe, NM",89284
60080,226,"Houma, LA",144875
60081,302,"Longview, TX",98884
60082,293,"Texas City, TX",106383
60084,6,"Dallas-Fort Worth-Arlington, TX",5121892
60086,257,"Fort Smith, AR-OK",122947
60088,49,"New Orleans, LA",899703
60089,247,"Tyler, TX",130247
60090,57,"McAllen, TX",728825
60091,163,"Killeen, TX",217630
60093,365,"Texarkana-Texarkana, TX-AR",78162
60094,312,"Lawton, OK",94457
60095,434,"Victoria, TX",63683
60096,296,"Norman, OK",103898
60097,252,"Odessa, TX",126405
60099,57,"McAllen, TX",728825
60100,477,"Farmington, NM",53049
60101,104,"Denton-Lewisville, TX",366174
60102,315,"San Angelo, TX",92984
60103,7,"Houston, TX",4944332
60104,420,"Jonesboro, AR",65419
60105,466,"Hot Springs, AR",55121
60108,7,"Houston, TX",4944332
60109,318,"Slidell, LA",91151
60111,56,"Albuquerque, NM",741318
60112,49,"New Orleans, LA",899703
60113,6,"Dallas-Fort Worth-Arlington, TX",5121892
60114,6,"Dallas-Fort Worth-Arlington, TX",5121892
60115,6,"Dallas-Fort Worth-Arlington, TX",5121892
60116,104,"Denton-Lewisville, TX",366174
60117,6,"Dallas-Fort Worth-Arlington, TX",5121892
60118,51,"Oklahoma City, OK",861505
60119,7,"Houston, TX",4944332
60120,7,"Houston, TX",4944332
60121,7,"Houston, TX",4944332
60122,226,"Houma, LA",144875
60125,37,"Austin, TX",1362416
60126,7,"Houston, TX",4944332
60127,49,"New Orleans, LA",899703
60128,49,"New Orleans, LA",899703
60129,154,"Conroe-The Woodlands, TX",239938
60130,26,"San Antonio, TX",1758210
60131,479,"San Marcos, TX",52826
60132,148,"Lafayette, LA",252720
60133,6,"Dallas-Fort Worth-Arlington, TX",5121892
60134,154,"Conroe-The Woodlands, TX",239938
66270,7,"Houston, TX",4944332
70001,145,"Lincoln, NE",258719
70002,58,"Omaha, NE-IA",725008
70003,138,"Springfield, MO",273724
70005,31,"Kansas City, MO-KS",1519417
70006,20,"St. Louis, MO-IL",2150706
70007,134,"Davenport, IA-IL",280051
70008,193,"Cedar Rapids, IA",177844
70009,134,"Davenport, IA-IL",280051
70010,85,"Des Moines, IA",450070
70011,409,"Dubuque, IA-IL",67818
70012,292,"Sioux City, IA-NE-SD",106494
70013,278,"Waterloo, IA",113418
70014,217,"Topeka, KS",150003
70015,83,"Wichita, KS",472870
70016,255,"Columbia, MO",124748
70018,290,"Iowa City, IA",106621
70019,290,"Iowa City, IA",106621
70030,290,"Iowa City, IA",106621
70032,354,"St. Joseph, MO-KS",81176
70035,31,"Kansas City, MO-KS",1519417
70040,347,"Joplin, MO",82775
70041,445,"Ames, IA",60438
70043,452,"Jefferson City, MO",58533
70045,290,"Iowa City, IA",106621
70046,31,"Kansas City, MO-KS",1519417
70047,31,"Kansas City, MO-KS",1519417
70048,332,"Lawrence, KS",88053
70049,134,"Davenport, IA-IL",280051
70050,478,"Cape Girardeau, MO-IL",52900
70051,478,"Cape Girardeau, MO-IL",52900
70052,496,"Grand Island, NE",50440
70053,469,"Manhattan, KS",54622
70054,83,"Wichita, KS",472870
70055,83,"Wichita, KS",472870
70056,83,"Wichita, KS",472870
70057,20,"St. Louis, MO-IL",2150706
70271,31,"Kansas City, MO-KS",1519417
80001,42,"Salt Lake City-West Valley City, UT",1021243
80002,212,"Sioux Falls, SD",156777
80003,194,"Fargo, ND-MN",176676
80004,273,"Billings, MT",114773
80005,73,"Colorado Springs, CO",559409
80006,18,"Denver-Aurora, CO",2374203
80007,236,"Pueblo, CO",136550
80008,440,"Grand Forks, ND-MN",61270
80009,348,"Missoula, MT",82157
80010,264,"Greeley, CO",117825
80011,141,"Fort Collins, CO",264465
80012,422,"Great Falls, MT",65207
80013,424,"Casper, WY",64548
80014,352,"Rapid City, SD",81251
80016,251,"Grand Junction, CO",128124
80019,349,"Bismarck, ND",81955
80020,377,"Cheyenne, WY",73588
80025,141,"Fort Collins, CO",264465
80026,305,"St. George, UT",98370
80028,311,"Logan, UT",94983
80106,141,"Fort Collins, CO",264465
80107,348,"Missoula, MT",82157
80109,18,"Denver-Aurora, CO",2374203
80110,194,"Fargo, ND-MN",176676
90001,94,"Reno, NV-CA",392141
90002,54,"Urban Honolulu, HI",802459
90003,13,"San Francisco-Oakland, CA",3281212
90004,79,"Bakersfield, CA",523994
90006,204,"Santa Cruz, CA",163703
90007,105,"Modesto, CA",358172
90008,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90009,13,"San Francisco-Oakland, CA",3281212
90010,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90012,102,"Stockton, CA",370583
90013,29,"San Jose, CA",1664496
90014,13,"San Francisco-Oakland, CA",3281212
90015,13,"San Francisco-Oakland, CA",3281212
90016,13,"San Francisco-Oakland, CA",3281212
90017,123,"Santa Rosa, CA",308231
90019,28,"Sacramento, CA",1723634
90020,184,"Santa Barbara, CA",195861
90022,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90023,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90024,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90026,15,"San Diego, CA",2956746
90027,63,"Fresno, CA",654628
90029,22,"Riverside-San Bernardino, CA",1932666
90030,15,"San Diego, CA",2956746
90031,22,"Riverside-San Bernardino, CA",1932666
90032,12,"Phoenix-Mesa, AZ",3629114
90033,52,"Tucson, AZ",843168
90034,12,"Phoenix-Mesa, AZ",3629114
90035,103,"Oxnard, CA",367260
90036,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90039,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90041,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90042,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90043,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90044,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90045,23,"Las Vegas-Henderson, NV",1886011
90050,254,"Simi Valley, CA",125206
90052,22,"Riverside-San Bernardino, CA",1932666
90061,270,"Yuba City, CA",116719
90062,276,"Seaside-Monterey, CA",114237
90078,66,"Concord, CA",615968
90079,111,"Indio-Cathedral City, CA",345580
90086,22,"Riverside-San Bernardino, CA",1932666
90087,246,"Santa Maria, CA",130447
90088,342,"Napa, CA",83913
90089,123,"Santa Rosa, CA",308231
90090,28,"Sacramento, CA",1723634
90091,162,"Visalia, CA",219454
90092,240,"Fairfield, CA",133683
90093,267,"Redding, CA",117731
90095,15,"San Diego, CA",2956746
90119,69,"Mission Viejo-Lake Forest-San Clemente, CA",583681
90121,112,"Lancaster-Palmdale, CA",341219
90131,12,"Phoenix-Mesa, AZ",3629114
90134,13,"San Francisco-Oakland, CA",3281212
90136,12,"Phoenix-Mesa, AZ",3629114
90140,12,"Phoenix-Mesa, AZ",3629114
90142,382,"Davis, CA",72794
90144,66,"Concord, CA",615968
90146,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90147,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90148,114,"Victorville-Hesperia, CA",328454
90149,485,"Lompoc, CA",51509
90151,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90154,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90155,314,"Vacaville, CA",93141
90156,447,"San Luis Obispo, CA",59219
90157,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90159,13,"San Francisco-Oakland, CA",3281212
90161,13,"San Francisco-Oakland, CA",3281212
90162,137,"Antioch, CA",277634
90163,386,"Camarillo, CA",71772
90164,103,"Oxnard, CA",367260
90165,168,"Thousand Oaks, CA",214811
90166,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90167,382,"Davis, CA",72794
90168,28,"Sacramento, CA",1723634
90169,12,"Phoenix-Mesa, AZ",3629114
90171,146,"Santa Clarita, CA",258653
90173,235,"Merced, CA",136969
90175,403,"Lodi, CA",68738
90182,102,"Stockton, CA",370583
90191,52,"Tucson, AZ",843168
90193,15,"San Diego, CA",2956746
90194,423,"El Paso de Robles (Paso Robles)-Atascadero, CA",65088
90196,28,"Sacramento, CA",1723634
90197,334,"Tracy, CA",87569
90198,394,"Porterville, CA",70272
90199,362,"Madera, CA",78413
90200,333,"Hanford, CA",87941
90201,300,"Turlock, CA",99904
90205,28,"Sacramento, CA",1723634
90206,447,"San Luis Obispo, CA",59219
90208,306,"Chico, CA",98176
90209,12,"Phoenix-Mesa, AZ",3629114
90211,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90213,428,"Petaluma, CA",64078
90214,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90215,454,"Carson City, NV",58079
90217,345,"Manteca, CA",83578
90218,22,"Riverside-San Bernardino, CA",1932666
90219,384,"Flagstaff, AZ",71957
90220,28,"Sacramento, CA",1723634
90222,52,"Tucson, AZ",843168
90223,28,"Sacramento, CA",1723634
90225,13,"San Francisco-Oakland, CA",3281212
90226,289,"El Centro-Calexico, CA",107672
90228,52,"Tucson, AZ",843168
90229,28,"Sacramento, CA",1723634
90230,333,"Hanford, CA",87941
90231,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90232,203,"Vallejo, CA",165074
90233,238,"Yuma, AZ-CA",135267
90234,13,"San Francisco-Oakland, CA",3281212
90235,28,"Sacramento, CA",1723634
90236,105,"Modesto, CA",358172
90238,471,"Delano, CA",54372
90239,480,"Sierra Vista, AZ",52745
90241,463,"Kahului, HI",55934
90242,23,"Las Vegas-Henderson, NV",1886011
90243,184,"Santa Barbara, CA",195861
90244,162,"Visalia, CA",219454
